service_date,gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator,ObjectId
2024/05/22 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,16670.936981599,20279.783534094,,73113
2024/05/23 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,81721.32408804,86519.467838051,,73136
2024/05/23 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,38468.193040306,40381.009828071,,73139
2024/05/23 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,17067.542439401,20625.328627226,,73140
2024/05/23 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,7579.520846976,10223.191236005,,73189
2024/05/23 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,10813.341451124,13282.776857726,,73190
2024/05/23 04:00:00+00,Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,17784.41551264,21976.259229129,,73191
2024/05/21 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,7974.03292128,10485.798358441,,73202
2024/05/21 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,9773.712804451,12402.872213936,,73203
2024/05/21 04:00:00+00,Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,15880.354576419,20897.864768563,,73204
2024/05/21 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,77092.841104967,86032.673622493,,73274
2024/05/21 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,38514.872852673,41283.298124601,,73278
2024/05/21 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,14782.692214314,19074.365699436,,73279
2024/05/22 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,82565.913592792,86732.537773428,,73309
2024/05/22 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,33925.951339466,37977.848206524,,73313
2024/05/21 04:00:00+00,Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,9348.31243991,12584.517929132,,73346
2024/05/21 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,7379.481296623,9569.371284381,,73347
2024/05/21 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,59500.365520203,67173.459594432,,73348
2024/05/21 04:00:00+00,Red,,Red Line,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,91157.658665106,101835.861721975,,73349
2024/05/22 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,22812.242692899,25249.513349087,,73459
2024/05/22 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,5330.060008354,6755.202971873,,73460
2024/05/22 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,7003.997332778,8461.753891191,,73461
2024/05/21 04:00:00+00,Red,,Red Line,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,116960.514461928,128694.593771751,,73598
2024/05/18 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,12054.638689853,14266.791185302,,73611
2024/05/18 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,13856.837609923,16461.619603578,,73612
2024/05/18 04:00:00+00,Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,22188.769575523,27985.95418027,,73613
2024/05/18 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,19395.719825594,23590.057400308,,73614
2024/05/18 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,34041.127594514,34712.403899884,,73637
2024/05/18 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,43024.33050602,43622.952736367,,73638
2024/05/19 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,8496.458374425,10156.650552429,,73707
2024/05/19 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,10879.91623848,13201.281423521,,73708
2024/05/19 04:00:00+00,Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,14726.451376641,18505.043805777,,73709
2024/05/19 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,12505.547240267,16031.534348891,,73710
2024/05/19 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,24333.928784538,25329.863247785,,73728
2024/05/19 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,32995.931716682,33156.211373365,,73729
2024/05/20 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,21473.645697158,23037.662023366,,73746
2024/05/20 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,5137.383351379,6525.717927531,,73747
2024/05/20 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,5963.542452379,7947.357142469,,73748
2024/05/20 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,11622.482337674,14411.627510922,,73749
2024/05/20 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,62399.207124277,65590.223020434,,73750
2024/05/19 04:00:00+00,Red,,Red Line,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,36211.844262373,37479.460883944,,73763
2024/05/21 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,21471.927017798,22870.996171941,,73897
2024/05/21 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,3534.89708121,4948.327589722,,73933
2024/05/20 04:00:00+00,Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,10268.262576157,13397.425860721,,73940
2024/05/20 04:00:00+00,Red,,Red Line,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,88264.7921131,96402.754794856,,73941
2024/05/20 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,8050.998331977,10806.741316904,,73948
2024/05/20 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,8981.426335473,11471.871057493,,73949
2024/05/20 04:00:00+00,Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,15447.991727676,19614.691311449,,73950
2024/05/20 04:00:00+00,Red,,Red Line,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,104427.58394156,117269.293871709,,73951
2024/05/20 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,75143.661876066,81721.506285043,,73952
2024/05/20 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,35238.207927193,38111.822092008,,73953
2024/05/20 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,15756.63824243,19109.08073328,,73954
2024/05/21 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,5393.41434923,6850.780123211,,73966
2024/05/18 04:00:00+00,Red,,Red Line,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,48981.067961329,51086.692568976,,73972
2024/05/16 04:00:00+00,Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,18237.307444174,22909.173008472,,74001
2024/05/17 04:00:00+00,Red,,Red Line,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,111064.429361405,122862.502340849,,74094
2024/05/17 04:00:00+00,Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,11888.622085661,16081.140954228,,74097
2024/05/17 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,10494.455411767,13358.837227637,,74098
2024/05/17 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,68158.689558613,70211.772599141,,74099
2024/05/17 04:00:00+00,Red,,Red Line,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,89331.025974249,99292.052038906,,74100
2024/05/17 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,8141.190927381,10677.465548922,,74113
2024/05/17 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,10064.399664782,12159.730571937,,74114
2024/05/17 04:00:00+00,Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,18788.703591061,23753.525728079,,74115
2024/05/17 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,83191.613964929,87835.945303609,,74116
2024/05/17 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,36779.00966001,39433.215034897,,74117
2024/05/17 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,17673.360474444,21626.768007764,,74118
2024/05/17 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,20238.180942004,21413.074796171,,74135
2024/05/17 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,4254.233270591,5753.533627089,,74136
2024/05/17 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,6342.864958248,8518.106294549,,74137
2024/05/16 04:00:00+00,Red,,Red Line,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,116072.938765182,126729.83905667,,74145
2024/05/16 04:00:00+00,Red,,Red Line,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,100014.427501281,107837.945031112,,74166
2024/05/16 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,7554.969148321,10368.142252823,,74258
2024/05/16 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,10295.792206795,12745.008357124,,74259
2024/05/16 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,25561.827093366,26404.114048117,,74277
2024/05/16 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,4432.669794606,6505.287328489,,74278
2024/05/16 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,6889.65308702,9085.396010522,,74279
